Event	ID	Name			Wwise Object Path	Notes
	100151336	Ambient_Campfire_Stop			\Default Work Unit\SFX\Ambient\3D Emitters\Continuous\Ambient_Campfire_Stop	
	120976108	Ambient_Torch			\Default Work Unit\SFX\Ambient\3D Emitters\Continuous\Ambient_Torch	
	808893336	UI_QuestRoll_Close			\Default Work Unit\SFX\UI\Quest Roll\Quest Roll\UI_QuestRoll_Close	
	949395292	UI_QuestRoll_Open			\Default Work Unit\SFX\UI\Quest Roll\Quest Roll\UI_QuestRoll_Open	
	2199611969	UI_Inventory_Open			\Default Work Unit\SFX\UI\Inventory\UI_Inventory_Open	
	2278290679	UI_Inventory_Close			\Default Work Unit\SFX\UI\Inventory\UI_Inventory_Close	
	2355650095	Ambient_Crystal_Hum			\Default Work Unit\SFX\Ambient\3D Emitters\Continuous\Ambient_Crystal_Hum	
	2453392179	Player_Footstep			\Default Work Unit\SFX\Player\Player_Footstep	
	3664581270	Ambient_Campfire_Play			\Default Work Unit\SFX\Ambient\3D Emitters\Continuous\Ambient_Campfire_Play	
	3741135221	Music_Region			\Default Work Unit\Music\Music_Region	
	3749307760	UI_Inventory_Roll			\Default Work Unit\SFX\UI\Inventory\UI_Inventory_Roll	
	4254124015	Destruction_Container			\Default Work Unit\SFX\Destruction\Destruction_Container	
	4275106484	Ambient_Lava			\Default Work Unit\SFX\Ambient\3D Emitters\Continuous\Ambient_Lava	

Switch Group	ID	Name			Wwise Object Path	Notes
	2471758783	Player_MovementSpeed			\Default Work Unit\Player_MovementSpeed	
	4064446173	Surface_Type			\Default Work Unit\Surface_Type	

Switch	ID	Name	Switch Group			Notes
	712161704	Run	Player_MovementSpeed			
	2108779966	Walk	Player_MovementSpeed			
	286660663	Rubble	Surface_Type			
	389757836	Agent	Surface_Type			
	442447909	Barrel	Surface_Type			
	582824249	Leaves	Surface_Type			
	803837735	Sand	Surface_Type			
	1216965916	Stone	Surface_Type			
	1647104456	Enemy_EvilCrawler	Surface_Type			
	2058049674	Wood	Surface_Type			
	2195636714	Dirt	Surface_Type			
	2473969246	Metal	Surface_Type			
	2654748154	Water	Surface_Type			
	3065846598	Enemy_EvilHead	Surface_Type			
	3098439042	Crate	Surface_Type			
	3276966729	Enemy_EvilSpitPlant	Surface_Type			
	3444057113	Crystal	Surface_Type			
	4248645337	Grass	Surface_Type			

State Group	ID	Name			Wwise Object Path	Notes
	2106907484	Music_Regions			\Default Work Unit\Music_Regions	

State	ID	Name	State Group			Notes
	608898761	Dungeon	Music_Regions			
	748895195	None	Music_Regions			
	1421251628	Woodlands	Music_Regions			
	1850388778	Desert	Music_Regions			
	3132368115	WwizardHouse	Music_Regions			
	3160623154	Silent	Music_Regions			
	3424056949	Nowhere	Music_Regions			
	3945572659	Village	Music_Regions			
	4122393694	Cave	Music_Regions			

Game Parameter	ID	Name			Wwise Object Path	Notes
	1333239961	MenuSlider_Master_Volume			\Default Work Unit\MenuSlider_Master_Volume	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	1364376	BAS_Player_Footstep_rubble_walk_06	C:\Users\julia\OneDrive\Documents\GitHub\WwiseAudioProject\WwiseProject\.cache\Windows\SFX\Footsteps\Walk\Rubble\BAS_Player_Footstep_rubble_walk_06_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Player_Footstep\Walk\Rubble\BAS_Player_Footstep_rubble_walk_06		47032
	3409295	BAS_Inventory_Open	C:\Users\julia\OneDrive\Documents\GitHub\WwiseAudioProject\WwiseProject\.cache\Windows\SFX\BAS_Inventory_Open_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\Inventory\BAS_Inventory_Open		45400
	31823714	BAS_Player_Footstep_dirt_walk_03	C:\Users\julia\OneDrive\Documents\GitHub\WwiseAudioProject\WwiseProject\.cache\Windows\SFX\Footsteps\Walk\Dirt\BAS_Player_Footstep_dirt_walk_03_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Player_Footstep\Walk\Dirt\BAS_Player_Footstep_dirt_walk_03		48070
	36004092	BAS_Player_Footstep_sand_run_02	C:\Users\julia\OneDrive\Documents\GitHub\WwiseAudioProject\WwiseProject\.cache\Windows\SFX\Footsteps\Run\Sand\BAS_Player_Footstep_sand_run_02_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Player_Footstep\Run\Sand\BAS_Player_Footstep_sand_run_02		26958
	36294998	BAS_Destroy_Wood_03	C:\Users\julia\OneDrive\Documents\GitHub\WwiseAudioProject\WwiseProject\.cache\Windows\SFX\Destruction\BAS_Destroy_Wood_03_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Destruction\Destruction\Wood\BAS_Destroy_Wood_03		132284
	44140721	BAS_Player_Footstep_wood_run_04	C:\Users\julia\OneDrive\Documents\GitHub\WwiseAudioProject\WwiseProject\.cache\Windows\SFX\Footsteps\Run\Wood\BAS_Player_Footstep_wood_run_04_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Player_Footstep\Run\Wood\BAS_Player_Footstep_wood_run_04		26120
	74790622	BAS_Inventory_Scroll	C:\Users\julia\OneDrive\Documents\GitHub\WwiseAudioProject\WwiseProject\.cache\Windows\SFX\BAS_Inventory_Scroll_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\Inventory\BAS_Inventory_Scroll		53988
	92508261	BAS_Crate_Destroy_02	C:\Users\julia\OneDrive\Documents\GitHub\WwiseAudioProject\WwiseProject\.cache\Windows\SFX\Destruction\BAS_Crate_Destroy_02_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Destruction\Destruction\Crate\BAS_Crate_Destroy_02		142376
	106656877	BAS_Player_Footstep_water_walk_04	C:\Users\julia\OneDrive\Documents\GitHub\WwiseAudioProject\WwiseProject\.cache\Windows\SFX\Footsteps\Walk\Water\BAS_Player_Footstep_water_walk_04_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Player_Footstep\Walk\Water\BAS_Player_Footstep_water_walk_04		45328
	110631969	BAS_Crate_Destroy_01	C:\Users\julia\OneDrive\Documents\GitHub\WwiseAudioProject\WwiseProject\.cache\Windows\SFX\Destruction\BAS_Crate_Destroy_01_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Destruction\Destruction\Crate\BAS_Crate_Destroy_01		89612
